# This file was produced by samtools stats (1.23.1+htslib-1.23.1) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats Control.sorted.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	3ce61ac7	edae2cee	be43588e
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	19708438	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	19708438
SN	is sorted:	1	# sorted by coordinate
SN	1st fragments:	9854219
SN	last fragments:	9854219
SN	reads mapped:	19658191
SN	reads mapped and paired:	19613806	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	50247
SN	reads properly paired:	19576046	# proper-pair bit set
SN	reads paired:	19708438	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	3476219	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	11733
SN	supplementary alignments:	0
SN	total length:	1970843800	# ignores clipping
SN	total first fragment length:	985421900	# ignores clipping
SN	total last fragment length:	985421900	# ignores clipping
SN	bases mapped:	1965819100	# ignores clipping
SN	bases mapped (cigar):	1957145547	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	9402272	# from NM fields
SN	error rate:	4.804074e-03	# mismatches / bases mapped (cigar)
SN	average length:	100
SN	average first fragment length:	100
SN	average last fragment length:	100
SN	maximum length:	100
SN	maximum first fragment length:	100
SN	maximum last fragment length:	100
SN	average quality:	30.4
SN	insert size average:	234.5
SN	insert size standard deviation:	80.0
SN	inward oriented pairs:	9761424
SN	outward oriented pairs:	33785
SN	pairs with other orientation:	3280
SN	pairs on different chromosomes:	8414
SN	percentage of properly paired reads (%):	99.3
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	4248	0	0	41657	38517	58367	54359	0	0	0	0	508	0	1381	0	0	0	42677	42062	70209	7254	81918	7737	88119	174341	0	556032	820186	2118234	1888923	3757490	0	0	0	0	0	0
FFQ	2	0	487	163	0	1203	0	814	3871	3619	2715	2083	4563	1316	6402	4771	15991	2154	29366	33047	14006	28348	27287	124758	308925	39433	183239	380919	588106	395377	1046464	1247823	2494807	1853316	1008846	0	0	0	0	0
FFQ	3	0	0	325	0	156	1500	0	1813	1410	3540	4608	2428	2605	2169	5425	492	3948	8652	15000	16147	76755	84937	29037	66406	206903	174101	847718	1716293	1935262	1960276	1737502	948811	0	0	0	0	0	0	0
FFQ	4	0	2473	3319	0	1580	5466	9473	10314	4070	7599	6728	3450	0	9998	7275	4724	11750	9764	16835	21535	31126	65812	77728	207519	107356	162873	315055	761259	849569	406044	2045064	2017452	2671009	0	0	0	0	0	0
FFQ	5	0	571	504	2004	645	3202	1442	5369	7477	5800	5808	7186	6299	9207	5464	12248	2996	15996	9688	13710	25262	16404	29280	65768	184459	142058	131224	132945	341495	1052245	695065	1523584	2162502	3236312	0	0	0	0	0
FFQ	6	0	2078	903	2006	2950	1516	4538	8939	7201	4164	6347	8141	2836	6231	9890	18655	13429	21756	13071	24868	15579	20006	26582	66923	73820	213918	139841	207447	315407	466000	836263	573018	1764740	1877172	3097984	0	0	0	0
FFQ	7	0	2450	2085	2552	2885	3226	4429	9231	9666	7875	2899	9205	5935	12568	6240	22140	14195	19224	26065	14639	14895	29226	48334	52391	85716	273312	167799	139536	293397	732669	804154	387005	1973048	1946132	2729096	0	0	0	0
FFQ	8	0	710	2206	0	0	4976	943	2042	7033	10267	5223	4621	6091	7741	4304	9801	8841	23936	9559	20726	20956	20221	14277	36655	54266	179478	137979	78077	176819	398458	972381	655901	1573957	2192468	3213306	0	0	0	0
FFQ	9	0	2084	1076	585	4348	819	3644	7079	9658	6421	4577	11076	5309	6648	10470	16092	21070	28329	22142	13305	22646	10830	45114	118362	86855	96299	319637	250126	326329	368913	461012	929455	2068739	2229798	1534439	810933	0	0	0
FFQ	10	0	807	2376	1	1120	4211	1292	3074	9266	7304	6488	8887	6196	4172	8219	15666	10117	23035	17550	21069	20836	16235	16331	30641	116965	106647	185512	137706	302297	444089	470062	813609	2110432	2593957	1528072	809978	0	0	0
FFQ	11	0	2415	1967	2900	1974	2750	8169	8011	7782	8851	9751	3594	4684	13557	14992	17017	22684	7652	19691	25396	24479	4769	47462	95797	82700	97287	267360	219651	407254	379782	534345	999374	2065318	2146253	1495870	802681	0	0	0
FFQ	12	0	1047	2375	529	2058	2978	1964	7332	7326	7673	7648	5213	7656	7044	9862	10118	18915	15898	29308	19217	23926	15757	13019	71330	120373	77606	218926	279167	340351	439278	469122	975327	2083359	2248544	1514845	799128	0	0	0
FFQ	13	0	2080	1532	2861	420	3310	5879	7064	5733	9999	8296	1392	5332	13130	10270	11299	13017	19147	13023	30232	24852	20725	36521	72687	86992	145465	149723	209056	408614	466870	627097	1566022	2236158	2093947	1156393	389081	0	0	0
FFQ	14	0	2546	1941	1361	4148	2457	2206	8923	10239	10504	8832	7831	3286	11460	13890	12803	26114	14674	15554	15414	23558	16289	31754	109899	81933	111862	160326	267456	288786	297932	483461	1325879	1913484	2675851	1014608	876958	0	0	0
FFQ	15	0	2336	1928	340	4953	1080	3114	7359	11327	6431	10434	6749	6287	3734	16610	10264	25815	16048	22601	15937	11263	26570	39450	64017	105413	132645	194148	155850	272300	323866	542425	2009471	3014949	1766596	1021909	0	0	0	0
FFQ	16	0	404	2466	888	5	4532	1242	2176	7223	10238	5674	1945	12505	4947	2438	7906	14831	14186	22776	19274	16769	19719	17424	23590	59572	121997	170833	115773	142017	343273	442860	1708731	3046017	2098799	1273375	117814	0	0	0
FFQ	17	0	1159	2916	160	2331	1203	3983	4697	7289	5234	9848	8328	2580	4263	17121	7114	17205	13832	17673	18596	32926	26392	16891	64347	81849	145491	149177	186806	292923	335189	551414	2084756	2976446	1709094	1054986	0	0	0	0
FFQ	18	0	1993	1876	1982	4145	1120	4541	7903	10476	7860	6475	8975	6487	3387	13562	10034	22363	20725	22502	17289	21107	18005	44525	83443	101387	128412	210875	186190	330664	304777	777775	2141840	2990839	1389585	951100	0	0	0	0
