# This file was produced by samtools stats (1.23.1+htslib-1.23.1) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats Tumor.sorted.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	57df2595	8b69d40f	46093f8d
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	15029250	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	15029250
SN	is sorted:	1	# sorted by coordinate
SN	1st fragments:	7514625
SN	last fragments:	7514625
SN	reads mapped:	15023437
SN	reads mapped and paired:	15019614	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	5813
SN	reads properly paired:	14979936	# proper-pair bit set
SN	reads paired:	15029250	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	2650986	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	10253
SN	supplementary alignments:	0
SN	total length:	1502925000	# ignores clipping
SN	total first fragment length:	751462500	# ignores clipping
SN	total last fragment length:	751462500	# ignores clipping
SN	bases mapped:	1502343700	# ignores clipping
SN	bases mapped (cigar):	1495782963	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	5785380	# from NM fields
SN	error rate:	3.867794e-03	# mismatches / bases mapped (cigar)
SN	average length:	100
SN	average first fragment length:	100
SN	average last fragment length:	100
SN	maximum length:	100
SN	maximum first fragment length:	100
SN	maximum last fragment length:	100
SN	average quality:	31.4
SN	insert size average:	214.7
SN	insert size standard deviation:	76.0
SN	inward oriented pairs:	7460143
SN	outward oriented pairs:	40043
SN	pairs with other orientation:	2586
SN	pairs on different chromosomes:	7035
SN	percentage of properly paired reads (%):	99.7
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	29606	0	0	0	0	7943	7677	0	0	0	13853	14485	0	0	0	0	0	354	67	0	0	0	16686	34342	17514	42333	85369	160346	774271	2772756	3537023	0	0	0	0	0	0	0
FFQ	2	0	197	220	488	0	122	270	1411	0	520	1293	1834	335	1415	2321	750	458	678	1341	15706	6773	5483	23086	17388	36092	177246	119823	97606	417724	382416	701902	1065200	1819654	1821374	793499	0	0	0	0	0
FFQ	3	0	0	115	0	122	0	1250	0	0	941	1495	0	830	1379	1476	172	3716	469	1	340	2458	7810	83844	53080	36228	143924	374600	831663	1255187	2171260	1900936	641329	0	0	0	0	0	0	0	0
FFQ	4	0	0	116	122	0	1159	0	0	948	1320	0	661	1284	1359	2152	692	506	0	811	335	4458	8580	7312	5619	12775	41257	152995	90823	225337	429745	610784	1274171	1501284	2321669	816351	0	0	0	0	0
FFQ	5	0	0	396	0	1730	0	0	1318	2270	0	1152	2032	2097	2481	1031	828	0	711	0	5866	8473	5371	10379	4360	7584	27889	26678	179391	60352	178618	379705	757943	1253541	1304485	2283929	1004015	0	0	0	0
FFQ	6	0	0	1192	159	73	1028	285	277	1266	1811	150	1156	2650	2867	320	2863	577	930	2462	6459	6949	4908	6790	6083	11457	24852	27035	195482	52430	184219	336030	757270	1280574	1298351	2288391	1007279	0	0	0	0
FFQ	7	0	14	855	163	94	1029	278	296	1306	1876	164	1251	2655	2858	503	2094	1130	998	2006	6171	7627	6176	7059	5848	17129	29783	21834	96971	179528	155259	351756	507389	451333	1292106	1485755	2124241	749090	0	0	0
FFQ	8	0	1614	437	131	1325	1593	752	2191	2485	1833	1758	1546	3516	822	4308	2165	8257	6088	5377	5876	7611	8986	10805	23038	28569	34361	36529	201658	82535	185077	333145	696439	1311763	1256335	2281676	964024	0	0	0	0
FFQ	9	0	0	841	152	73	1032	323	333	1495	1924	480	1080	2906	2905	413	2390	1155	998	2413	5792	7997	7064	6241	6896	12313	20732	52514	61366	160523	106249	243213	565092	671347	1411373	1991866	1426696	736438	0	0	0
FFQ	10	0	0	886	150	100	1104	329	300	1270	1999	547	1094	2582	2858	655	2799	758	992	2568	7194	6424	5651	8781	3683	16320	20953	49037	173973	69734	106167	244811	754284	1272058	2229418	1698385	826761	0	0	0	0
