#taskLabel	taskNamespace	runState	errorCode	runStateUpdateTime
CallGenome		complete	0	2026-07-05T17:18:42.058055Z
makeTmpDir	CallGenome	complete	0	2026-07-05T17:16:08.661981Z
callGenomeSegment_chromId_014_15_0000	CallGenome	complete	0	2026-07-05T17:17:39.126402Z
fixVcfHeader_chromId_014_15_0000	CallGenome	complete	0	2026-07-05T17:18:07.502231Z
compressSegmentOutput_chromId_014_15_0000	CallGenome	complete	0	2026-07-05T17:18:07.624720Z
callGenomeSegment_chromId_014_15_0001	CallGenome	complete	0	2026-07-05T17:18:06.902981Z
compressSegmentOutput_chromId_014_15_0001	CallGenome	complete	0	2026-07-05T17:18:23.581328Z
callGenomeSegment_chromId_014_15_0002	CallGenome	complete	0	2026-07-05T17:16:38.543170Z
compressSegmentOutput_chromId_014_15_0002	CallGenome	complete	0	2026-07-05T17:17:42.205797Z
callGenomeSegment_chromId_014_15_0003	CallGenome	complete	0	2026-07-05T17:17:23.580609Z
compressSegmentOutput_chromId_014_15_0003	CallGenome	complete	0	2026-07-05T17:18:23.651402Z
callGenomeSegment_chromId_014_15_0004	CallGenome	complete	0	2026-07-05T17:17:57.307984Z
compressSegmentOutput_chromId_014_15_0004	CallGenome	complete	0	2026-07-05T17:18:07.331303Z
callGenomeSegment_chromId_014_15_0005	CallGenome	complete	0	2026-07-05T17:17:33.411491Z
compressSegmentOutput_chromId_014_15_0005	CallGenome	complete	0	2026-07-05T17:17:39.317116Z
callGenomeSegment_chromId_014_15_0006	CallGenome	complete	0	2026-07-05T17:17:15.168843Z
compressSegmentOutput_chromId_014_15_0006	CallGenome	complete	0	2026-07-05T17:17:36.008289Z
callGenomeSegment_chromId_014_15_0007	CallGenome	complete	0	2026-07-05T17:16:36.742948Z
compressSegmentOutput_chromId_014_15_0007	CallGenome	complete	0	2026-07-05T17:16:36.865146Z
callGenomeSegment_chromId_014_15_0008	CallGenome	complete	0	2026-07-05T17:17:35.939083Z
compressSegmentOutput_chromId_014_15_0008	CallGenome	complete	0	2026-07-05T17:18:23.512268Z
callGenomeSegment_chromId_015_16_0000	CallGenome	complete	0	2026-07-05T17:18:34.063331Z
compressSegmentOutput_chromId_015_16_0000	CallGenome	complete	0	2026-07-05T17:18:34.130412Z
callGenomeSegment_chromId_015_16_0001	CallGenome	complete	0	2026-07-05T17:16:45.871454Z
compressSegmentOutput_chromId_015_16_0001	CallGenome	complete	0	2026-07-05T17:18:07.698103Z
callGenomeSegment_chromId_015_16_0002	CallGenome	complete	0	2026-07-05T17:16:41.068542Z
compressSegmentOutput_chromId_015_16_0002	CallGenome	complete	0	2026-07-05T17:17:40.613389Z
callGenomeSegment_chromId_015_16_0003	CallGenome	complete	0	2026-07-05T17:18:24.330189Z
compressSegmentOutput_chromId_015_16_0003	CallGenome	complete	0	2026-07-05T17:18:24.397138Z
callGenomeSegment_chromId_015_16_0004	CallGenome	complete	0	2026-07-05T17:16:50.057364Z
compressSegmentOutput_chromId_015_16_0004	CallGenome	complete	0	2026-07-05T17:16:50.178963Z
callGenomeSegment_chromId_015_16_0005	CallGenome	complete	0	2026-07-05T17:17:18.308888Z
compressSegmentOutput_chromId_015_16_0005	CallGenome	complete	0	2026-07-05T17:17:19.600497Z
callGenomeSegment_chromId_015_16_0006	CallGenome	complete	0	2026-07-05T17:18:09.624468Z
compressSegmentOutput_chromId_015_16_0006	CallGenome	complete	0	2026-07-05T17:18:23.443799Z
callGenomeSegment_chromId_015_16_0007	CallGenome	complete	0	2026-07-05T17:18:23.255432Z
compressSegmentOutput_chromId_015_16_0007	CallGenome	complete	0	2026-07-05T17:18:23.324927Z
callGenomeSegment_chromId_016_17_0000	CallGenome	complete	0	2026-07-05T17:17:17.900593Z
compressSegmentOutput_chromId_016_17_0000	CallGenome	complete	0	2026-07-05T17:17:17.969788Z
callGenomeSegment_chromId_016_17_0001	CallGenome	complete	0	2026-07-05T17:17:39.006345Z
compressSegmentOutput_chromId_016_17_0001	CallGenome	complete	0	2026-07-05T17:17:39.245348Z
callGenomeSegment_chromId_016_17_0002	CallGenome	complete	0	2026-07-05T17:17:39.004992Z
compressSegmentOutput_chromId_016_17_0002	CallGenome	complete	0	2026-07-05T17:17:45.825937Z
callGenomeSegment_chromId_016_17_0003	CallGenome	complete	0	2026-07-05T17:18:24.257506Z
compressSegmentOutput_chromId_016_17_0003	CallGenome	complete	0	2026-07-05T17:18:24.329090Z
callGenomeSegment_chromId_016_17_0004	CallGenome	complete	0	2026-07-05T17:17:53.056793Z
compressSegmentOutput_chromId_016_17_0004	CallGenome	complete	0	2026-07-05T17:17:53.124936Z
callGenomeSegment_chromId_016_17_0005	CallGenome	complete	0	2026-07-05T17:17:04.743381Z
compressSegmentOutput_chromId_016_17_0005	CallGenome	complete	0	2026-07-05T17:18:07.026592Z
callGenomeSegment_chromId_016_17_0006	CallGenome	complete	0	2026-07-05T17:18:29.616162Z
compressSegmentOutput_chromId_016_17_0006	CallGenome	complete	0	2026-07-05T17:18:29.684277Z
callGenomeSegment_chromId_017_18_0000	CallGenome	complete	0	2026-07-05T17:17:48.250191Z
compressSegmentOutput_chromId_017_18_0000	CallGenome	complete	0	2026-07-05T17:17:48.371484Z
callGenomeSegment_chromId_017_18_0001	CallGenome	complete	0	2026-07-05T17:16:59.670399Z
compressSegmentOutput_chromId_017_18_0001	CallGenome	complete	0	2026-07-05T17:17:36.077667Z
callGenomeSegment_chromId_017_18_0002	CallGenome	complete	0	2026-07-05T17:17:42.136491Z
compressSegmentOutput_chromId_017_18_0002	CallGenome	complete	0	2026-07-05T17:17:42.273668Z
callGenomeSegment_chromId_017_18_0003	CallGenome	complete	0	2026-07-05T17:17:40.491529Z
compressSegmentOutput_chromId_017_18_0003	CallGenome	complete	0	2026-07-05T17:18:23.836100Z
callGenomeSegment_chromId_017_18_0004	CallGenome	complete	0	2026-07-05T17:16:43.447693Z
compressSegmentOutput_chromId_017_18_0004	CallGenome	complete	0	2026-07-05T17:17:18.089425Z
callGenomeSegment_chromId_017_18_0005	CallGenome	complete	0	2026-07-05T17:17:45.702893Z
compressSegmentOutput_chromId_017_18_0005	CallGenome	complete	0	2026-07-05T17:18:23.719362Z
callGenomeSegment_chromId_017_18_0006	CallGenome	complete	0	2026-07-05T17:17:19.530879Z
compressSegmentOutput_chromId_017_18_0006	CallGenome	complete	0	2026-07-05T17:18:07.160553Z
completedAllGenomeSegments	CallGenome	complete	0	2026-07-05T17:18:34.131989Z
SNV_concat_vcf	CallGenome	complete	0	2026-07-05T17:18:34.202145Z
SNV_index_vcf	CallGenome	complete	0	2026-07-05T17:18:34.264991Z
Indel_concat_vcf	CallGenome	complete	0	2026-07-05T17:18:34.203384Z
Indel_index_vcf	CallGenome	complete	0	2026-07-05T17:18:34.256388Z
