#taskLabel	taskNamespace	runState	errorCode	runStateUpdateTime
getChromDepth_makeTmpDir		complete	0	2026-07-02T18:46:48.916223Z
getChromDepth_sample000_makeTmpDir		complete	0	2026-07-02T18:46:49.002827Z
getChromDepth_sample000_estimateChromDepth_000_1		complete	0	2026-07-02T18:47:01.046545Z
getChromDepth_sample000_estimateChromDepth_001_2		complete	0	2026-07-02T18:46:59.121932Z
getChromDepth_sample000_estimateChromDepth_002_3		complete	0	2026-07-02T18:47:02.181617Z
getChromDepth_sample000_estimateChromDepth_003_4		complete	0	2026-07-02T18:46:56.260011Z
getChromDepth_sample000_estimateChromDepth_004_5		complete	0	2026-07-02T18:46:58.433793Z
getChromDepth_sample000_estimateChromDepth_005_6		complete	0	2026-07-02T18:46:58.600828Z
getChromDepth_sample000_estimateChromDepth_006_7		complete	0	2026-07-02T18:47:01.412561Z
getChromDepth_sample000_estimateChromDepth_007_8		complete	0	2026-07-02T18:46:56.133787Z
getChromDepth_sample000_estimateChromDepth_008_9		complete	0	2026-07-02T18:46:59.975183Z
getChromDepth_sample000_estimateChromDepth_009_10		complete	0	2026-07-02T18:46:50.456881Z
getChromDepth_sample000_estimateChromDepth_010_11		complete	0	2026-07-02T18:46:52.694331Z
getChromDepth_sample000_estimateChromDepth_011_12		complete	0	2026-07-02T18:46:50.574262Z
getChromDepth_sample000_estimateChromDepth_012_13		complete	0	2026-07-02T18:46:53.964748Z
getChromDepth_sample000_estimateChromDepth_013_14		complete	0	2026-07-02T18:47:00.527609Z
getChromDepth_sample000_estimateChromDepth_014_15		complete	0	2026-07-02T18:46:59.903284Z
getChromDepth_sample000_estimateChromDepth_015_16		complete	0	2026-07-02T18:46:54.616026Z
getChromDepth_sample000_estimateChromDepth_016_17		complete	0	2026-07-02T18:46:54.435921Z
getChromDepth_sample000_estimateChromDepth_017_18		complete	0	2026-07-02T18:46:55.714171Z
getChromDepth_sample000_estimateChromDepth_018_19		complete	0	2026-07-02T18:46:51.269448Z
getChromDepth_sample000_estimateChromDepth_019_20		complete	0	2026-07-02T18:46:54.790863Z
getChromDepth_sample000_estimateChromDepth_020_21		complete	0	2026-07-02T18:46:49.396675Z
getChromDepth_sample000_estimateChromDepth_021_22		complete	0	2026-07-02T18:46:56.512740Z
getChromDepth_sample000_estimateChromDepth_022_X		complete	0	2026-07-02T18:46:56.134741Z
getChromDepth_sample000_estimateChromDepth_023_Y		complete	0	2026-07-02T18:46:49.685100Z
getChromDepth_sample000_estimateChromDepth_024_MT_to_031_GL000235_1		complete	0	2026-07-02T18:46:49.206883Z
getChromDepth_sample000_estimateChromDepth_032_GL000201_1_to_036_GL000203_1		complete	0	2026-07-02T18:46:56.590021Z
getChromDepth_sample000_estimateChromDepth_037_GL000246_1_to_041_GL000244_1		complete	0	2026-07-02T18:47:00.165473Z
getChromDepth_sample000_estimateChromDepth_042_GL000238_1_to_045_GL000232_1		complete	0	2026-07-02T18:46:59.683300Z
getChromDepth_sample000_estimateChromDepth_046_GL000206_1_to_049_GL000241_1		complete	0	2026-07-02T18:46:54.790029Z
getChromDepth_sample000_estimateChromDepth_050_GL000243_1_to_053_GL000237_1		complete	0	2026-07-02T18:46:56.668823Z
getChromDepth_sample000_estimateChromDepth_054_GL000233_1_to_055_GL000204_1		complete	0	2026-07-02T18:46:59.307587Z
getChromDepth_sample000_estimateChromDepth_056_GL000198_1_to_057_GL000208_1		complete	0	2026-07-02T18:46:50.697590Z
getChromDepth_sample000_estimateChromDepth_058_GL000191_1		complete	0	2026-07-02T18:46:56.580062Z
getChromDepth_sample000_estimateChromDepth_059_GL000227_1		complete	0	2026-07-02T18:46:56.333331Z
getChromDepth_sample000_estimateChromDepth_060_GL000228_1		complete	0	2026-07-02T18:47:00.236359Z
getChromDepth_sample000_estimateChromDepth_061_GL000214_1		complete	0	2026-07-02T18:46:56.479818Z
getChromDepth_sample000_estimateChromDepth_062_GL000221_1		complete	0	2026-07-02T18:46:59.444829Z
getChromDepth_sample000_estimateChromDepth_063_GL000209_1		complete	0	2026-07-02T18:46:49.516561Z
getChromDepth_sample000_estimateChromDepth_064_GL000218_1		complete	0	2026-07-02T18:46:49.082022Z
getChromDepth_sample000_estimateChromDepth_065_GL000220_1		complete	0	2026-07-02T18:46:56.581722Z
getChromDepth_sample000_estimateChromDepth_066_GL000213_1		complete	0	2026-07-02T18:46:49.384322Z
getChromDepth_sample000_estimateChromDepth_067_GL000211_1		complete	0	2026-07-02T18:47:00.309042Z
getChromDepth_sample000_estimateChromDepth_068_GL000199_1		complete	0	2026-07-02T18:46:56.499040Z
getChromDepth_sample000_estimateChromDepth_069_GL000217_1		complete	0	2026-07-02T18:47:00.046923Z
getChromDepth_sample000_estimateChromDepth_070_GL000216_1		complete	0	2026-07-02T18:46:56.258964Z
getChromDepth_sample000_estimateChromDepth_071_GL000215_1		complete	0	2026-07-02T18:46:52.935605Z
getChromDepth_sample000_estimateChromDepth_072_GL000205_1		complete	0	2026-07-02T18:46:49.080676Z
getChromDepth_sample000_estimateChromDepth_073_GL000219_1		complete	0	2026-07-02T18:46:59.190620Z
getChromDepth_sample000_estimateChromDepth_074_GL000224_1		complete	0	2026-07-02T18:46:56.406492Z
getChromDepth_sample000_estimateChromDepth_075_GL000223_1		complete	0	2026-07-02T18:46:56.405713Z
