# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_protein_protein_contact	variants_effect_sequence_feature	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_structural_interaction_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
7SK	ENSG00000260682	ENST00000363673	misc_RNA	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
7SK	ENSG00000260682	ENST00000564138	lincRNA	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
AAGAB	ENSG00000103591	ENST00000261880	protein_coding	0	0	1	6	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AAGAB	ENSG00000103591	ENST00000538028	processed_transcript	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAGAB	ENSG00000103591	ENST00000542650	protein_coding	0	0	1	6	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AAGAB	ENSG00000103591	ENST00000558725	processed_transcript	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AAGAB	ENSG00000103591	ENST00000560362	protein_coding	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AAGAB	ENSG00000103591	ENST00000561229	processed_transcript	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AAGAB	ENSG00000103591	ENST00000561452	protein_coding	0	0	1	6	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AANAT	ENSG00000129673	ENST00000250615	protein_coding	0	0	0	3	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AANAT	ENSG00000129673	ENST00000392492	protein_coding	0	0	0	3	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AANAT	ENSG00000129673	ENST00000585649	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AANAT	ENSG00000129673	ENST00000587798	nonsense_mediated_decay	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARS	ENSG00000090861	ENST00000261772	protein_coding	0	3	1	13	1	0	0	2	11	1	0	0	0	0	0	1	0	0	0	0	0	2	0
AARS	ENSG00000090861	ENST00000564359	processed_transcript	0	0	0	14	0	0	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5
AARS	ENSG00000090861	ENST00000565361	protein_coding	0	0	0	11	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AARS	ENSG00000090861	ENST00000566969	retained_intron	0	0	0	7	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	4
AARS	ENSG00000090861	ENST00000567490	retained_intron	0	0	0	6	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AARS	ENSG00000090861	ENST00000569790	processed_transcript	0	0	0	11	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	5
AARS	ENSG00000090861	ENST00000569825	retained_intron	0	0	0	8	0	0	0	4	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AARSD1	ENSG00000266967	ENST00000416949	processed_transcript	0	0	0	12	0	0	0	5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	5
AARSD1	ENSG00000266967	ENST00000427569	protein_coding	0	1	0	11	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	5
AARSD1	ENSG00000266967	ENST00000430739	protein_coding	0	1	0	12	0	1	1	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5
AARSD1	ENSG00000266967	ENST00000436545	nonsense_mediated_decay	0	1	0	11	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	1	5
AARSD1	ENSG00000266967	ENST00000441280	retained_intron	0	0	0	12	0	0	0	5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	5
AARSD1	ENSG00000266967	ENST00000450475	nonsense_mediated_decay	0	1	0	12	0	1	1	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5
AARSD1	ENSG00000266967	ENST00000474578	retained_intron	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AARSD1	ENSG00000266967	ENST00000478040	retained_intron	0	0	0	6	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AARSD1	ENSG00000266967	ENST00000483535	retained_intron	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AARSD1	ENSG00000266967	ENST00000483774	retained_intron	0	0	0	6	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AARSD1	ENSG00000266967	ENST00000486493	retained_intron	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AARSD1	ENSG00000266967	ENST00000486664	retained_intron	0	0	0	5	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARSD1	ENSG00000266967	ENST00000491665	retained_intron	0	0	0	5	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
AARSD1	ENSG00000266967	ENST00000492036	retained_intron	0	0	0	7	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	5
AARSD1	ENSG00000266967	ENST00000587023	retained_intron	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3
AARSD1	ENSG00000266967	ENST00000591096	nonsense_mediated_decay	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARSD1	ENSG00000266967	ENST00000591910	nonsense_mediated_decay	0	1	0	11	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	1	5
AARSD1	ENSG00000266967	ENST00000592136	retained_intron	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AARSD1	ENSG00000266967	ENST00000593123	retained_intron	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AATF	ENSG00000108270	ENST00000225402	protein_coding	0	1	0	6	0	1	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AATF	ENSG00000108270	ENST00000589579	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AATF	ENSG00000108270	ENST00000592751	nonsense_mediated_decay	0	0	0	6	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AATF	ENSG00000108270	ENST00000593084	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AATK	ENSG00000181409	ENST00000326724	protein_coding	0	1	0	24	0	0	0	1	21	0	0	0	0	0	0	0	0	0	0	0	0	1	2
AATK	ENSG00000181409	ENST00000374792	nonsense_mediated_decay	0	1	0	24	0	0	0	1	21	0	0	0	0	0	0	0	0	0	0	0	0	1	2
AATK	ENSG00000181409	ENST00000417379	protein_coding	0	1	0	15	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	1	6
AATK	ENSG00000181409	ENST00000570932	nonsense_mediated_decay	0	1	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5
AATK	ENSG00000181409	ENST00000572339	processed_transcript	0	0	0	14	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	6
AATK	ENSG00000181409	ENST00000572798	processed_transcript	0	0	0	16	0	0	0	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AATK	ENSG00000181409	ENST00000573441	processed_transcript	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
AATK	ENSG00000181409	ENST00000573469	retained_intron	0	0	0	15	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	6
AATK	ENSG00000181409	ENST00000575363	protein_coding	0	0	0	14	0	0	1	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AATK	ENSG00000181409	ENST00000576053	retained_intron	0	0	0	13	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6
AATK-AS1	ENSG00000225180	ENST00000414089	antisense	0	0	0	7	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	1
AATK-AS1	ENSG00000225180	ENST00000571031	antisense	0	0	0	7	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	1
ABAT	ENSG00000183044	ENST00000268251	protein_coding	0	2	0	30	1	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ABAT	ENSG00000183044	ENST00000396600	protein_coding	0	2	0	26	1	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ABAT	ENSG00000183044	ENST00000425191	protein_coding	0	2	0	26	0	0	0	1	25	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ABAT	ENSG00000183044	ENST00000561870	protein_coding	0	1	0	8	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ABAT	ENSG00000183044	ENST00000562115	nonsense_mediated_decay	0	1	0	9	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ABAT	ENSG00000183044	ENST00000563992	retained_intron	0	0	0	6	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ABAT	ENSG00000183044	ENST00000564453	retained_intron	0	0	0	12	0	0	0	2	8	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ABAT	ENSG00000183044	ENST00000564714	protein_coding	0	1	0	12	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ABAT	ENSG00000183044	ENST00000565016	protein_coding	0	1	0	8	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ABAT	ENSG00000183044	ENST00000565671	processed_transcript	0	0	0	9	0	0	0	1	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABAT	ENSG00000183044	ENST00000566590	nonsense_mediated_decay	0	0	0	28	1	0	0	1	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABAT	ENSG00000183044	ENST00000567812	protein_coding	0	2	0	26	0	0	0	1	25	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ABAT	ENSG00000183044	ENST00000568847	protein_coding	0	0	0	9	0	0	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABAT	ENSG00000183044	ENST00000569156	protein_coding	0	1	1	26	0	0	0	1	25	1	0	0	0	0	0	0	0	0	0	0	0	1	0
ABCA10	ENSG00000154263	ENST00000269081	protein_coding	0	3	3	26	2	0	0	0	23	3	0	0	0	0	0	2	0	0	0	0	0	2	2
ABCA10	ENSG00000154263	ENST00000416101	protein_coding	0	3	2	27	3	0	0	0	23	2	0	0	0	0	0	2	0	0	0	0	0	2	2
ABCA10	ENSG00000154263	ENST00000423818	protein_coding	0	0	0	9	0	0	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA10	ENSG00000154263	ENST00000432313	protein_coding	0	2	2	11	0	0	0	1	8	2	0	0	0	0	0	1	0	0	0	0	0	2	2
ABCA10	ENSG00000154263	ENST00000518929	nonsense_mediated_decay	0	3	2	25	2	0	0	1	23	2	0	0	0	0	0	2	0	0	0	0	0	2	0
ABCA10	ENSG00000154263	ENST00000519732	processed_transcript	0	0	0	10	0	0	0	0	8	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ABCA10	ENSG00000154263	ENST00000521526	processed_transcript	0	0	0	4	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA10	ENSG00000154263	ENST00000521538	protein_coding	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ABCA10	ENSG00000154263	ENST00000522406	nonsense_mediated_decay	0	3	2	25	3	0	0	0	23	2	0	0	0	0	0	2	0	0	0	0	0	2	0
ABCA10	ENSG00000154263	ENST00000522787	protein_coding	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ABCA10	ENSG00000154263	ENST00000523419	nonsense_mediated_decay	0	3	3	24	1	0	0	1	23	3	0	0	0	0	0	2	0	0	0	0	0	2	0
ABCA10	ENSG00000154263	ENST00000523512	nonsense_mediated_decay	0	1	0	9	4	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCA10	ENSG00000154263	ENST00000524231	retained_intron	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3
ABCA10	ENSG00000154263	ENST00000524273	nonsense_mediated_decay	0	2	0	8	1	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	1	1
ABCA10	ENSG00000154263	ENST00000588514	retained_intron	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ABCA17P	ENSG00000238098	ENST00000466730	processed_transcript	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA17P	ENSG00000238098	ENST00000469908	processed_transcript	0	0	0	28	0	0	0	1	17	0	10	0	0	0	0	0	0	0	0	0	0	0	0
ABCA17P	ENSG00000238098	ENST00000482286	retained_intron	0	0	0	6	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ABCA17P	ENSG00000238098	ENST00000494925	unitary_pseudogene	0	0	0	27	0	0	0	0	16	0	11	0	0	0	0	0	0	0	0	0	0	0	0
